iyear,imonth,country,region,provstate,city,attacktype1,targtype1,gname,weaptype1
2009,1,186,6,Western,Colombo,3,14,Liberation Tigers of Tamil Eelam (LTTE),6
2009,1,160,5,Quezon,Maalukot 3,2,4,New People s Army (NPA),5
2009,1,160,5,Sultan Kudarat,Tacurong,3,19,Unknown,6
2009,1,97,10,Southern,Eshkolot,3,14,Unknown,6
2009,1,97,10,Southern,Ashdod,3,14,Unknown,6
2009,1,97,10,Southern,Kissufim,3,2,Al-Aqsa Martyrs Brigade,6
2009,1,97,10,Southern,Netivot,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Diyala,Khanaqin,3,14,Unknown,6
2009,1,95,10,Diyala,,3,14,Unknown,6
2009,1,229,11,Orientale,Napopo,9,15,Lord s Resistance Army (LRA),13
2009,1,195,11,Central Equatoria,Laso,2,14,Lord s Resistance Army (LRA),5
2009,1,603,8,England,Brondesbury,7,15,Unknown,8
2009,1,43,3,Santiago Metropolitan,Santiago,3,2,Unknown,6
2009,1,43,3,Santiago Metropolitan,Santiago,3,2,Unknown,6
2009,1,38,1,British Colombia,Tomslake,3,21,Unknown,6
2009,1,92,6,Orissa,Almonda,2,14,Communist Party of India - Maoist (CPI-Maoist),5
2009,1,92,6,Assam,Harangajao,3,19,Black Widows,6
2009,1,153,6,Balochistan,Dera Murad Jamali,2,19,Baloch Republican Army (BRA),5
2009,1,153,6,North-West Frontier Province,Dera Ismail Khan,3,3,Unknown,6
2009,1,153,6,North-West Frontier Province,Mingora,6,3,Unknown,13
2009,1,153,6,North-West Frontier Province,Dera Ismail Khan,2,1,Unknown,5
2009,1,229,11,Orientale,Napopo,9,14,Unknown,13
2009,1,229,11,Orientale,Masambo,2,14,Lord s Resistance Army (LRA),8
2009,1,97,10,Southern,Ashdod,3,14,Unknown,6
2009,1,97,10,Southern,Eshkolot,3,14,Unknown,6
2009,1,205,5,Pattani,,2,14,Unknown,5
2009,1,160,5,Sultan Kudarat,President Quirino,1,2,Unknown,5
2009,1,95,10,Kirkuk,Kirkuk,2,3,Unknown,5
2009,1,95,10,Kirkuk,Cheman,2,22,Unknown,5
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,1,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Nineveh,Mosul,3,14,Unknown,6
2009,1,21,8,Brussels,Brussels,7,15,Unknown,8
2009,1,69,8,Midi-Pyrenees,Toulouse,7,15,Unknown,8
2009,1,153,6,North-West Frontier Province,Charbagh,2,14,Unknown,5
2009,1,153,6,Federally Administered Tribal Areas,Miran Shah,2,14,Unknown,5
2009,1,153,6,Balochistan,Quetta,2,14,Unknown,5
2009,1,153,6,North-West Frontier Province,Matta,3,10,Unknown,6
2009,1,153,6,Balochistan,Sui,3,21,Baloch Republican Army (BRA),6
2009,1,92,6,Jharkhand,Telari,2,14,Communist Party of India - Maoist (CPI-Maoist),5
2009,1,4,6,Kandahar,Kandahar,2,14,Unknown,5
2009,1,153,6,Federally Administered Tribal Areas,Mohmand district,6,14,Tehrik-i-Taliban Pakistan (TTP),13
2009,1,78,8,Attica,Athens,2,3,Revolutionary Struggle,5
2009,1,97,10,Southern,Eshkol regional council,3,14,Unknown,6
2009,1,160,5,North Cotabato,Kabacan,3,1,Al-Khobar,6
2009,1,147,11,Kaduna,Unknown,7,14,Unknown,8
2009,1,95,10,Nineveh,Mosul,7,16,Unknown,8
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Nineveh,Mosul,1,3,Unknown,6
2009,1,153,6,Federally Administered Tribal Areas,Miran Shah,2,14,Taliban,5
2009,1,153,6,Federally Administered Tribal Areas,Mohmand district,3,14,Unknown,6
2009,1,153,6,North-West Frontier Province,Swat district,7,8,Unknown,8
2009,1,153,6,Federally Administered Tribal Areas,Mohmand district,3,2,Unknown,6
2009,1,182,11,Bay,Burhakaba,6,2,Somali Islamic Front,13
2009,1,4,6,Kapisa,,2,1,Unknown,5
2009,1,186,6,Western,Colombo,5,16,Unknown,5
2009,1,97,10,Central,Gedera,3,14,Unknown,6
2009,1,160,5,Sultan Kudarat,Kalamansig,7,14,Moro Islamic Liberation Front (MILF),8
2009,1,160,5,North Cotabato,Kabacan,3,15,Moro Islamic Liberation Front (MILF),6
2009,1,160,5,Maguindanao,Labu Labu,3,19,Moro Islamic Liberation Front (MILF),6
2009,1,205,5,Yala,Muang,3,8,Unknown,6
2009,1,182,11,Bay,Burhakaba,6,2,23 May Democratic Alliance (Algeria),13
2009,1,123,11,Kidal,Unknown,6,1,23 May Democratic Alliance (Algeria),13
2009,1,95,10,Nineveh,Mosul,2,2,Unknown,5
2009,1,95,10,Nineveh,Mosul,3,2,Unknown,6
2009,1,186,6,Western,Colombo,3,19,Unknown,6
2009,1,153,6,North-West Frontier Province,Matta,2,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,153,6,North-West Frontier Province,Swat district,2,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,153,6,Balochistan,Sui,3,21,Unknown,6
2009,1,153,6,Balochistan,Sui,3,1,Unknown,6
2009,1,153,6,North-West Frontier Province,Swat district,6,2,Unknown,13
2009,1,92,6,Chhattisgarh,Bijapur,9,3,Communist Party of India - Maoist (CPI-Maoist),13
2009,1,92,6,Chhattisgarh,Belchar,9,3,Communist Party of India - Maoist (CPI-Maoist),13
2009,1,92,6,Chhattisgarh,Dantewada district,7,19,Communist Party of India - Maoist (CPI-Maoist),8
2009,1,4,6,Herat,Injil district,3,14,Unknown,6
2009,1,78,8,Attica,Athens,7,1,Unknown,8
2009,1,97,10,Northern,Nahariyya,3,14,Popular Front for the Liberation of Palestine (PFLP),6
2009,1,95,10,Saladin,Tuz Khormato district,2,22,Unknown,5
2009,1,182,11,Banaadir,Mogadishu,2,7,Unknown,5
2009,1,95,10,Diyala,Sadiyah,2,14,Unknown,5
2009,1,45,3,Bogota,Bogota,7,19,Unknown,8
2009,1,153,6,Federally Administered Tribal Areas,North Waziristan district,2,2,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,153,6,North-West Frontier Province,Peshawar,3,1,Unknown,6
2009,1,205,5,Bangkok,Bangkok,3,2,Unknown,6
2009,1,160,5,Albay,Malilipot,3,16,New People s Army (NPA),6
2009,1,182,11,Gedo,Garbaharey,3,2,Al-Shabaab,6
2009,1,229,11,Orientale,Kana,9,14,Lord s Resistance Army (LRA),13
2009,1,95,10,Diyala,Sadiyah district,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,15,Unknown,6
2009,1,153,6,Balochistan,Dera Murad Jamali,2,19,Unknown,5
2009,1,153,6,Sindh,Kashmore,2,19,Unknown,5
2009,1,153,6,Balochistan,Dera Bugti,1,14,Baloch Republican Army (BRA),6
2009,1,153,6,Punjab,Lahore,3,1,Unknown,6
2009,1,153,6,Punjab,Lahore,3,1,Unknown,6
2009,1,186,6,Eastern,Trincomalee,3,19,Liberation Tigers of Tamil Eelam (LTTE),6
2009,1,92,6,Assam,Guwahati,3,19,United Liberation Front of Assam (ULFA),6
2009,1,92,6,Nagaland,Phek,6,4,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),5
2009,1,153,6,North-West Frontier Province,Mardan,3,1,Unknown,6
2009,1,229,11,Orientale,Bitima,2,14,Lord s Resistance Army (LRA),8
2009,1,229,11,Orientale,Dungu,2,14,Lord s Resistance Army (LRA),8
2009,1,229,11,Orientale,Dungu,2,14,Lord s Resistance Army (LRA),8
2009,1,229,11,Orientale,Tongotongo,7,14,Lord s Resistance Army (LRA),8
2009,1,167,9,Ingushetia,Ordzhonikidzevskaya,3,1,Unknown,6
2009,1,229,11,Orientale,Sambia,9,14,Lord s Resistance Army (LRA),13
2009,1,182,11,Banaadir,Mogadishu,3,1,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,153,6,Balochistan,Sibi,1,14,Unknown,5
2009,1,153,6,North-West Frontier Province,Naurang,3,1,Unknown,6
2009,1,153,6,Federally Administered Tribal Areas,Khar,6,1,Tehrik-i-Taliban Pakistan (TTP),13
2009,1,92,6,Jharkhand,Anjan,2,14,Communist Party of India - Maoist (CPI-Maoist),5
2009,1,92,6,Orissa,Katulpeta,2,14,Communist Party of India - Maoist (CPI-Maoist),5
2009,1,92,6,Jharkhand,Anjan,7,14,Communist Party of India - Maoist (CPI-Maoist),8
2009,1,160,5,Lanao del Norte,Kauswagan,3,21,Moro Islamic Liberation Front (MILF),6
2009,1,19,6,Dhaka,Dhaka,3,8,Unknown,6
2009,1,153,6,North-West Frontier Province,Peshawar,6,15,Unknown,13
2009,1,229,11,Orientale,Dungu,2,2,Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP),5
2009,1,38,1,Alberta,Edmonton,7,14,Unknown,8
2009,1,6,10,Tebessa Province,Stah Guentis,3,14,Unknown,6
2009,1,69,8,Ile-de-France,Saint-Denis,7,15,Unknown,8
2009,1,95,10,Arbil,Makhmour,3,14,Unknown,6
2009,1,95,10,Nineveh,Mosul,3,2,Unknown,6
2009,1,153,6,Balochistan,Sui,3,21,Unknown,6
2009,1,92,6,Jharkhand,Gurabanda,3,3,Communist Party of India - Maoist (CPI-Maoist),6
2009,1,45,3,Norte de Santander,Unknown,7,21,Revolutionary Armed Forces of Colombia (FARC),8
2009,1,160,5,Masbate,Unknown,3,2,New People s Army (NPA),6
2009,1,153,6,Federally Administered Tribal Areas,Wana,6,2,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,229,11,Orientale,Gangalabodio,9,14,Lord s Resistance Army (LRA),13
2009,1,229,11,Orientale,Bangadi,7,14,Lord s Resistance Army (LRA),8
2009,1,167,9,Ingushetia,Nazran,1,4,Unknown,5
2009,1,185,8,Galicia,Mos,3,2,Unknown,6
2009,1,182,11,Banaadir,Mogadishu,3,2,Unknown,6
2009,1,69,8,Ile-de-France,Fontenay-sous-Bois,2,14,Unknown,9
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),6
2009,1,153,6,North-West Frontier Province,Mingora,2,14,Tehrik-i-Taliban Pakistan (TTP),9
2009,1,153,6,Federally Administered Tribal Areas,Mir Ali,2,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,153,6,Balochistan,Quetta,3,14,Unknown,6
2009,1,141,6,Eastern,Siraha district,2,2,Akhil Terai Mukti Morcha (ATMM),5
2009,1,92,6,Assam,Dhemaji district,2,2,National Democratic Front of Bodoland (NDFB),5
2009,1,92,6,Manipur,Imphal,3,1,Kangleipak Communist Party (KCP),6
2009,1,195,11,Warap,Kwajok,6,7,Sudan Liberation Movement,5
2009,1,15,8,Vienna,Vienna,2,14,Unknown,5
2009,1,167,9,Karachayevo Cherkesiya Republic,Cherkessk,1,2,Unknown,5
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,153,6,North-West Frontier Province,Matta district,9,2,Unknown,13
2009,1,153,6,North-West Frontier Province,Matta,2,1,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,153,6,Federally Administered Tribal Areas,Miran Shah,2,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,160,5,Bukidnon,Bonacao,7,1,New People s Army (NPA),8
2009,1,160,5,Maguindanao,Datu Odin Sinsuat,3,14,Unknown,6
2009,1,205,5,Pattani,Yarang,1,14,Unknown,5
2009,1,95,10,Kirkuk,Kirkuk,2,3,Unknown,5
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Kirkuk,Kirkuk,2,3,Unknown,5
2009,1,182,11,Banaadir,Mogadishu,9,2,Al-Shabaab,13
2009,1,182,11,Banaadir,Mogadishu,2,14,Unknown,5
2009,1,153,6,Federally Administered Tribal Areas,Orakzai district,1,14,Unknown,5
2009,1,153,6,North-West Frontier Province,Nowshera,3,14,Unknown,6
2009,1,45,3,Valle del Cauca,Cali,3,19,Revolutionary Armed Forces of Colombia (FARC),6
2009,1,95,10,Nineveh,Mosul,3,8,Unknown,6
2009,1,141,6,Eastern,Siraha district,2,14,Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal,5
2009,1,205,5,Narathiwat,Sungai Kolok,3,2,Unknown,6
2009,1,92,6,Chhattisgarh,Pakhanjore,2,3,Communist Party of India - Maoist (CPI-Maoist),5
2009,1,95,10,Saladin,Samarra,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,1,2,Unknown,6
2009,1,182,11,Gedo,Bardera,3,4,Unknown,6
2009,1,153,6,Federally Administered Tribal Areas,Miran Shah,2,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,153,6,North-West Frontier Province,Shabqadar,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,13,Asa ib Ahl al-Haqq,6
2009,1,95,10,Nineveh,Mosul,2,14,Islamic State of Iraq (ISI),5
2009,1,92,6,Bihar,Anwarpur,3,16,Communist Party of India - Maoist (CPI-Maoist),6
2009,1,95,10,Baghdad,Baghdad,3,2,Unknown,6
2009,1,95,10,Kirkuk,Kirkuk,3,2,Unknown,6
2009,1,95,10,Babil,Hillah,2,2,Unknown,5
2009,1,95,10,Saladin,Ishaqi,3,14,Unknown,6
2009,1,182,11,Lower Juba,Kismayo,2,2,Al-Shabaab,5
2009,1,6,10,Ain Defla,Khemis Miliana,2,2,Al-Qaida in the Islamic Maghreb (AQIM),9
2009,1,185,8,Basque Country,Hernani,3,16,Basque Fatherland and Freedom (ETA),6
2009,1,43,3,Santiago Metropolitan,Santiago,3,1,Unknown,6
2009,1,43,3,Santiago Metropolitan,Santiago,3,1,Unknown,6
2009,1,43,3,Santiago Metropolitan,Santiago,3,2,Unknown,6
2009,1,45,3,Huila,Neiva,3,1,Revolutionary Armed Forces of Colombia (FARC),6
2009,1,45,3,Huila,Neiva,3,14,Revolutionary Armed Forces of Colombia (FARC),6
2009,1,153,6,North-West Frontier Province,Swat district,3,2,Tehrik-i-Taliban Pakistan (TTP),6
2009,1,153,6,North-West Frontier Province,Peshawar,6,15,Unknown,9
2009,1,93,5,Aceh,Banda Aceh,3,1,Unknown,6
2009,1,153,6,North-West Frontier Province,Matta,9,2,Unknown,13
2009,1,153,6,North-West Frontier Province,Mingora,2,14,Unknown,5
2009,1,205,5,Yala,Muang,7,19,Unknown,8
2009,1,205,5,Yala,Muang,3,19,Unknown,6
2009,1,92,6,Chhattisgarh,Dantewara,7,19,Communist Party of India - Maoist (CPI-Maoist),8
2009,1,92,6,Manipur,Ukhrul,3,14,Unknown,6
2009,1,97,10,Southern,Eshkol regional council,3,2,Unknown,6
2009,1,95,10,Nineveh,Mosul,2,3,Unknown,5
2009,1,95,10,Nineveh,Mosul,2,14,Unknown,5
2009,1,95,10,Baghdad,Baghdad,3,2,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,17,Unknown,6
2009,1,95,10,Kirkuk,Kirkuk,3,14,Unknown,6
2009,1,95,10,Nineveh,Mosul,3,14,Unknown,6
2009,1,98,8,Tuscany,Florence,3,15,Unknown,6
2009,1,92,6,Jharkhand,Latehar district,3,3,Communist Party of India - Maoist (CPI-Maoist),6
2009,1,4,6,Kabul,Kabul,3,7,Unknown,6
2009,1,228,10,Abyan,Jaar,7,3,Unknown,5
2009,1,153,6,North-West Frontier Province,Khwazakhela,2,14,Unknown,5
2009,1,153,6,North-West Frontier Province,Mingora,3,8,Unknown,6
2009,1,186,6,Eastern,Batticaloa,2,2,Liberation Tigers of Tamil Eelam (LTTE),5
2009,1,229,11,Orientale,Tora,7,15,Lord s Resistance Army (LRA),8
2009,1,229,11,Orientale,Kapili,9,14,Lord s Resistance Army (LRA),13
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,1,Unknown,6
2009,1,95,10,Basra,Basra,3,3,Unknown,6
2009,1,95,10,Nineveh,Qayarah,1,14,Unknown,6
2009,1,147,11,Rivers,Bonny,6,1,Unknown,13
2009,1,92,6,Karnataka,Pavagada,3,19,Communist Party of India - Maoist (CPI-Maoist),6
2009,1,228,10,Shabwah,Unknown,6,1,Unknown,5
2009,1,92,6,Gujarat,Ahmedabad,3,2,Unknown,6
2009,1,153,6,North-West Frontier Province,Mingora,2,14,Unknown,5
2009,1,186,6,Uva,Maligawila,2,14,Liberation Tigers of Tamil Eelam (LTTE),5
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,97,10,Southern,Ashdod,3,14,Unknown,6
2009,1,97,10,Southern,Ashkelon,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,1,2,Unknown,6
2009,1,167,9,Moscow,Moscow,2,14,Unknown,5
2009,1,167,9,Ingushetia,Nazran,3,1,Unknown,6
2009,1,153,6,Sindh,Kotri,2,14,Unknown,5
2009,1,153,6,Federally Administered Tribal Areas,Mir Ali,2,14,Taliban,5
2009,1,153,6,Balochistan,Dera Bugti,3,21,Baloch Republican Army (BRA),6
2009,1,229,11,Orientale,Atande,9,14,Lord s Resistance Army (LRA),13
2009,1,195,11,West Equatoria,Bamani,1,2,Lord s Resistance Army (LRA),13
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Saladin,Tikrit,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,1,2,Unknown,6
2009,1,95,10,Diyala,Baqubah,3,2,Unknown,6
2009,1,153,6,Balochistan,Sariab,2,1,Baloch Republican Army (BRA),5
2009,1,153,6,Balochistan,Sui district,3,21,Baloch Republican Army (BRA),6
2009,1,186,6,Eastern,Batticaloa,2,14,Liberation Tigers of Tamil Eelam (LTTE),5
2009,1,160,5,Sultan Kudarat,Paril,7,14,Moro Islamic Liberation Front (MILF),8
2009,1,93,5,Jakarta,Jakarta,7,7,Unknown,8
2009,1,59,3,Guayas,Guayaquil,3,1,Unknown,6
2009,1,153,6,Balochistan,Dera Bugti,3,21,Unknown,6
2009,1,153,6,North-West Frontier Province,Matta district,3,8,Tehrik-i-Taliban Pakistan (TTP),6
2009,1,167,9,Dagestan,Between Khasavyurt and Karlanyurt,3,19,Unknown,6
2009,1,147,11,Rivers,Bonny,3,11,Movement for the Emancipation of the Niger Delta (MEND),6
2009,1,95,10,Baghdad,Baghdad,3,14,Islamic State of Iraq (ISI),6
2009,1,95,10,Babil,Hillah,3,14,Unknown,6
2009,1,95,10,Kirkuk,Kirkuk,3,15,Unknown,6
2009,1,95,10,Babil,Haswah,3,8,Unknown,6
2009,1,4,6,Baghlan,Baghlan,3,14,Unknown,6
2009,1,160,5,Davao Oriental,Mati,7,1,New People s Army (NPA),8
2009,1,92,6,Bihar,Domba,7,1,Communist Party of India - Maoist (CPI-Maoist),8
2009,1,146,11,Tillab?ri,Bani Bangou,6,18,Al-Qaida in the Islamic Maghreb (AQIM),5
2009,1,92,6,Manipur,Imphal,3,8,Kangleipak Communist Party (KCP),6
2009,1,92,6,Assam,Nalbari,3,19,Unknown,6
2009,1,92,6,Orissa,Karkatpalli,2,14,Communist Party of India - Maoist (CPI-Maoist),5
2009,1,153,6,North-West Frontier Province,Madyan,2,15,Unknown,9
2009,1,153,6,North-West Frontier Province,Madyan,6,14,Unknown,13
2009,1,123,11,Timbuktu,Timbuktu,6,18,23 May Democratic Alliance (Algeria),13
2009,1,95,10,Diyala,Sadiyah,3,14,Unknown,6
2009,1,205,5,Pattani,Yarang,1,2,Unknown,5
2009,1,160,5,Rizal,Macabud,6,3,New People s Army (NPA),13
2009,1,92,6,Jharkhand,Rohini,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,153,6,Federally Administered Tribal Areas,Khyber district,6,14,Unknown,13
2009,1,153,6,Balochistan,Kohlu,1,2,Unknown,5
2009,1,4,6,Badghis,Muqur,6,3,Taliban,13
2009,1,205,5,Yala,,2,14,Unknown,5
2009,1,4,6,Paktia,,3,14,Unknown,6
2009,1,92,6,West Bengal,Belpahari,2,22,Unknown,5
2009,1,92,6,Manipur,Ithai,2,3,United National Liberation Front (UNLF),5
2009,1,153,6,Balochistan,Quetta,2,14,Baloch Liberation Front (BLF),5
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Babil,Hillah,2,14,Unknown,5
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Nineveh,Mosul,3,1,Unknown,6
2009,1,153,6,Punjab,Rawalpindi,2,10,Unknown,5
2009,1,153,6,Balochistan,Dera Bugti,3,21,Unknown,6
2009,1,153,6,North-West Frontier Province,Mingora,3,8,Unknown,6
2009,1,4,6,Ghazni,Moqori,2,14,Taliban,5
2009,1,45,3,Tolima,Roncesvalles,2,3,Revolutionary Armed Forces of Colombia (FARC),5
2009,1,92,6,Chhattisgarh,Dantewada,7,14,Communist Party of India - Maoist (CPI-Maoist),8
2009,1,92,6,West Bengal,Uttar Sonapur,3,14,Unknown,6
2009,1,92,6,Chhattisgarh,Kanker district,6,3,Communist Party of India - Maoist (CPI-Maoist),13
2009,1,141,6,Central,Katahariya,3,14,Terai Army,6
2009,1,95,10,Baghdad,Baghdad,7,2,Unknown,8
2009,1,74,7,Abkhazia,Gali,3,3,Unknown,6
2009,1,153,6,Balochistan,Dera Bugti,3,21,Unknown,6
2009,1,153,6,Balochistan,Dera Bugti,3,14,Unknown,6
2009,1,153,6,Federally Administered Tribal Areas,Miran Shah,6,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,141,6,Eastern,Rajbiraj,3,1,Mahan Madhesh Janakantri Party (MMJP)- Nepal,6
2009,1,153,6,Balochistan,Quetta,2,2,Unknown,5
2009,1,141,6,Eastern,Rajbiraj,3,14,Mahan Madhesh Janakantri Party (MMJP)- Nepal,6
2009,1,153,6,North-West Frontier Province,Dera Ismail Khan,1,2,Unknown,6
2009,1,153,6,Punjab,Lahore,3,3,Unknown,6
2009,1,153,6,Federally Administered Tribal Areas,Khar,6,14,Tehrik-i-Taliban Pakistan (TTP),13
2009,1,141,6,Eastern,Rajbiraj,3,14,Mahan Madhesh Janakantri Party (MMJP)- Nepal,6
2009,1,94,10,Sistan and Balochistan,Saravan,2,3,Unknown,5
2009,1,95,10,Nineveh,Mosul,3,14,Unknown,6
2009,1,205,5,Pattani,Pattani,2,1,Unknown,5
2009,1,182,11,Bay,Baidoa,2,2,Al-Shabaab,5
2009,1,228,10,Amanat Al Asimah,Sanaa,2,7,Hushaysh Tribal Members,5
2009,1,4,6,Nangarhar,Jalalabad,3,14,Unknown,6
2009,1,153,6,North-West Frontier Province,Swat district,3,8,Unknown,6
2009,1,153,6,Federally Administered Tribal Areas,Datta Khel,2,14,New People s Army (NPA),5
2009,1,153,6,North-West Frontier Province,Dera Ismail Khan,2,22,Unknown,5
2009,1,153,6,North-West Frontier Province,Matta,3,14,Unknown,6
2009,1,4,6,Herat,Rabat-i-Sangi,7,1,Unknown,8
2009,1,4,6,Kandahar,,3,14,Taliban,6
2009,1,4,6,Herat,Ghoryan,6,14,Unknown,13
2009,1,4,6,Herat,Rabat-i-Sangi,6,1,Taliban,5
2009,1,45,3,Bogota,Bogota,3,1,Revolutionary Armed Forces of Colombia (FARC),6
2009,1,92,6,Bihar,Maigra,3,16,Communist Party of India - Maoist (CPI-Maoist),6
2009,1,147,11,Delta,Warri,6,1,Unknown,5
2009,1,95,10,Al Anbar,Amriyat al-Fallujah,7,2,Unknown,5
2009,1,95,10,Baghdad,Baghdad,3,2,Unknown,6
2009,1,95,10,Diyala,Baqubah,3,14,Unknown,6
2009,1,95,10,Nineveh,Mosul,3,22,Unknown,6
2009,1,160,5,North Cotabato,Dado,3,14,Moro Islamic Liberation Front (MILF),6
2009,1,160,5,Compostela Valley,Unknown,2,2,Unknown,5
2009,1,205,5,Pattani,Khok Pho,2,1,Unknown,5
2009,1,153,6,Federally Administered Tribal Areas,Bajaur district,3,8,Unknown,6
2009,1,153,6,North-West Frontier Province,Kabal,3,8,Tehrik-i-Taliban Pakistan (TTP),6
2009,1,69,8,Corsica,Bastia,3,3,Unknown,6
2009,1,153,6,Federally Administered Tribal Areas,Miran Shah,6,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,603,8,Northern Ireland,Castlewellan,3,14,Oglaigh na hEireann,6
