iyear;imonth;iday;country;region;provstate;city;attacktype1;targtype1;gname;weaptype1
2014;1;3;95;10;Al Anbar;Abu Ghraib;1;17;Unknown;5
2014;1;3;113;10;Benghazi;Benghazi;2;4;Unknown;5
2014;1;3;113;10;Benghazi;Benghazi;2;4;Unknown;5
2014;1;3;167;9;Moscow;Zheleznodorozhny;3;3;Unknown;6
2014;1;3;205;5;Pattani;Don Rak;2;3;Separatists;5
2014;1;3;95;10;Al Anbar;Fallujah;3;4;Unknown;6
2014;1;3;60;10;North Sinai;Sheikh Zuweid;3;4;Unknown;6
2014;1;3;200;10;Damascus;Damascus;3;21;Unknown;6
2014;1;3;200;10;Homs;Homs;3;21;Unknown;6
2014;1;3;60;10;Cairo;Cairo;3;4;Unknown;6
2014;1;3;19;6;Rajshahi;Sahanjanpur;7;2;Unknown;8
2014;1;3;19;6;Rajshahi;Bogra;7;2;Unknown;8
2014;1;3;19;6;Dhaka;Netrakona district;7;2;Unknown;8
2014;1;3;19;6;Dhaka;Netrakona district;7;2;Unknown;8
2014;1;3;19;6;Dhaka;Netrakona district;7;2;Unknown;8
2014;1;3;19;6;Chittagong;Sitakunda;7;2;Unknown;8
2014;1;3;19;6;Rajshahi;Singra;7;2;Unknown;8
2014;1;3;19;6;Barisal;Mathbaria;7;2;Unknown;8
2014;1;3;19;6;Khulna;Kushtia district;7;2;Unknown;8
2014;1;3;19;6;Chittagong;Daganbhuiyan;7;2;Unknown;8
2014;1;3;19;6;Chittagong;Daganbhuiyan;7;2;Unknown;8
2014;1;3;19;6;Chittagong;Daganbhuiyan;7;2;Unknown;8
2014;1;3;19;6;Chittagong;Daganbhuiyan;7;2;Unknown;8
2014;1;3;19;6;Chittagong;Daganbhuiyan;7;2;Unknown;8
2014;1;3;153;6;Federally Administered Tribal Areas;Mushti Mela;3;8;Unknown;6
2014;1;3;19;6;Rajshahi;Kansat;2;14;Unknown;8
2014;1;3;153;6;Khyber Pakhtunkhwa;Peshawar;3;20;Unknown;6
2014;1;2;60;10;Kafr El-Sheikh;Kafr el-Sheikh;3;8;Unknown;6
2014;1;3;153;6;Islamabad Capital Territory;Islamabad;2;15;Muslim extremists;5
2014;1;3;153;6;Khyber Pakhtunkhwa;Amangarh;3;21;Unknown;6
2014;1;3;153;6;Khyber Pakhtunkhwa;Waheedabad;3;20;Unknown;6
2014;1;3;153;6;Azad Kashmir;Mirpur;3;20;Unknown;6
2014;1;3;19;6;Rangpur;Lalmonirhat district;7;22;Unknown;8
2014;1;3;160;5;Agusan del Norte;Butuan City;3;1;Unknown;6
2014;1;3;155;10;West Bank;Jerusalem;2;3;Unknown;9
2014;1;3;92;6;Odisha;Kandhamal district;6;14;Communist Party of India - Maoist (CPI-Maoist);13
2014;1;4;182;11;Bay;Buulo Eyle;6;7;Al-Shabaab;13
2014;1;4;182;11;Banaadir;Mogadishu;3;2;Al-Shabaab;6
2014;1;4;4;6;Nangarhar;Unknown;3;4;Taliban;6
2014;1;4;4;6;Nangarhar;Bati Kot district;3;3;Taliban;6
2014;1;3;4;6;Khost;Saberi district;3;2;Taliban;6
2014;1;4;182;11;Lower Shebelle;Janale;9;4;Al-Shabaab;13
2014;1;4;182;11;Banaadir;Mogadishu;2;14;Al-Shabaab;5
2014;1;4;104;11;Nairobi;Nairobi;3;1;Al-Shabaab;6
2014;1;4;205;5;Pattani;Muang Pattani district;2;1;Unknown;5
2014;1;4;95;10;Diyala;Balad Ruz;3;14;Unknown;6
2014;1;4;95;10;Diyala;Baqubah;3;3;Unknown;6
2014;1;4;95;10;Kirkuk;Askari;3;3;Unknown;6
2014;1;4;95;10;Kirkuk;Domiz;3;3;Unknown;6
2014;1;4;95;10;Kirkuk;Kirkuk;3;20;Unknown;6
2014;1;4;95;10;Kirkuk;Askari;3;20;Unknown;6
2014;1;4;95;10;Baghdad;Baghdad;3;3;Unknown;6
2014;1;4;95;10;Nineveh;Mosul;3;14;Unknown;6
2014;1;4;95;10;Nineveh;Ayn al-Jahesh;3;4;Unknown;6
2014;1;4;95;10;Nineveh;Unknown;3;4;Unknown;6
2014;1;5;95;10;Saladin;Baiji district;3;4;Abu Jaafar al-Mansur Brigades;6
2014;1;4;95;10;Nineveh;Mosul;2;14;Unknown;5
2014;1;4;95;10;Nineveh;Hammam al-Alil;2;3;Unknown;5
2014;1;4;95;10;Nineveh;Hay al-Wihdah;2;4;Unknown;5
2014;1;4;228;10;Hadramawt;Unknown;3;21;Hadramawt Tribes Alliance;6
2014;1;4;95;10;Saladin;Unknown;2;4;Unknown;5
2014;1;4;4;6;Kabul;Kabul;3;4;Taliban;6
2014;1;4;153;6;Balochistan;Quetta;3;2;Unknown;6
2014;1;4;4;6;Helmand;Nahri Saraj district;3;14;Taliban;6
2014;1;4;60;10;North Sinai;Sheikh Zuweid;3;4;Unknown;6
2014;1;4;95;10;Nineveh;Mosul;2;4;Unknown;5
2014;1;4;92;6;Manipur;Laikoiching;3;4;Manipur Naga People's Army (MNPA);6
2014;1;4;19;6;Rajshahi;Charghat;7;2;Unknown;8
2014;1;4;19;6;Rajshahi;Charghat;7;2;Unknown;8
2014;1;4;19;6;Rajshahi;Pabna district;3;2;Unknown;6
2014;1;4;19;6;Chittagong;Sonagazi;7;2;Unknown;8
2014;1;4;19;6;Chittagong;Sonagazi;7;2;Unknown;8
2014;1;4;19;6;Chittagong;Sonagazi;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Karimganj;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Karimganj;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Karimganj;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Tangail district;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Tangail district;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Tangail district;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Ghior;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Shivalaya;7;2;Unknown;8
2014;1;4;19;6;Dhaka;Shivalaya;7;2;Unknown;8
2014;1;4;19;6;Chittagong;Laksam;7;2;Unknown;8
2014;1;4;19;6;Chittagong;Laksam;7;2;Unknown;8
2014;1;4;19;6;Chittagong;Laksam;7;2;Unknown;8
2014;1;4;19;6;Chittagong;Brahmanbaria district;7;2;Unknown;8
2014;1;4;19;6;Barisal;Barguna;7;2;Unknown;8
2014;1;4;19;6;Barisal;Barguna;7;2;Unknown;8
2014;1;4;19;6;Barisal;Barguna;7;2;Unknown;8
2014;1;4;19;6;Barisal;Amtali;7;2;Unknown;8
2014;1;4;19;6;Rajshahi;Nandigram;7;2;Unknown;8
2014;1;4;19;6;Chittagong;Satkania;7;2;Unknown;8
2014;1;4;19;6;Rangpur;Gaibandha district;7;2;Unknown;8
2014;1;4;19;6;Rangpur;Gaibandha district;7;2;Unknown;8
2014;1;4;19;6;Rangpur;Gaibandha district;7;2;Unknown;8
2014;1;4;19;6;Rangpur;Gaibandha district;7;2;Unknown;8
2014;1;4;19;6;Chittagong;Lakshmipur district;7;2;Unknown;13
2014;1;4;153;6;Balochistan;Bakhtiarabad;3;19;Baloch Republican Army (BRA);6
2014;1;4;4;6;Ghazni;Jangul;2;3;Taliban;5
2014;1;4;19;6;Chittagong;Chittagong;3;2;Unknown;6
2014;1;4;19;6;Chittagong;Chittagong;3;2;Unknown;6
2014;1;4;19;6;Rajshahi;Singra;3;2;Unknown;6
2014;1;4;19;6;Rajshahi;Singra;3;2;Unknown;6
2014;1;3;228;10;Al Bayda;Radaa;3;14;Unknown;6
2014;1;4;110;10;North;Tripoli;7;14;Unknown;8
2014;1;4;153;6;Balochistan;Washuk;3;1;Unknown;6
2014;1;4;153;6;Balochistan;Quetta;3;3;Unknown;6
2014;1;4;19;6;Rajshahi;Natore;7;19;Bangladesh Nationalist Party (BNP);8
2014;1;4;4;6;Ghazni;Ghazni;3;3;Unknown;6
2014;1;4;4;6;Unknown;Unknown;3;20;Unknown;6
2014;1;4;153;6;Sindh;Karachi;2;1;Unknown;5
2014;1;4;153;6;Sindh;Karachi;2;3;Unknown;5
2014;1;4;228;10;Abyan;Al-Jawf;2;17;Houthi extremists (Ansar Allah);5
2014;1;4;153;6;Sindh;Karachi;2;1;Unknown;5
2014;1;4;153;6;Khyber Pakhtunkhwa;Bannu;3;3;Unknown;6
2014;1;4;153;6;Khyber Pakhtunkhwa;Bannu;3;3;Unknown;6
2014;1;5;182;11;Middle Shebelle;Jowhar;3;4;Unknown;6
2014;1;4;182;11;Sanaag;Laag;9;4;Muslim extremists;13
2014;1;5;160;5;North Cotabato;Paidu Pulangi;2;14;Bangsamoro Islamic Freedom Movement (BIFM);6
2014;1;5;182;11;Banaadir;Mogadishu;2;2;Al-Shabaab;5
2014;1;5;95;10;Baghdad;Baghdad;3;2;Unknown;6
2014;1;5;95;10;Baghdad;Baghdad;3;14;Unknown;6
2014;1;5;95;10;Baghdad;Baghdad;3;14;Unknown;6
2014;1;5;95;10;Baghdad;Baghdad;3;19;Unknown;6
2014;1;5;95;10;Kirkuk;Kirkuk;3;3;Unknown;6
2014;1;5;95;10;Baghdad;Baghdad;3;14;Unknown;6
2014;1;5;95;10;Nineveh;Unknown;3;1;Unknown;6
2014;1;5;95;10;Saladin;Shirqat district;2;3;Unknown;5
2014;1;5;95;10;Nineveh;Qayyarah;2;3;Unknown;5
2014;1;5;113;10;Tripoli;Tripoli;6;4;Unknown;13
2014;1;5;95;10;Saladin;Balad;2;4;Unknown;5
2014;1;5;95;10;Saladin;Balad;2;4;Unknown;5
2014;1;5;95;10;Baghdad;Baghdad;3;14;Unknown;6
2014;1;5;95;10;Diyala;Nayet al-Azim district;2;1;Unknown;5
2014;1;6;228;10;Hadramawt;Shahr;3;21;Tribesmen;6
2014;1;5;19;6;Rangpur;Thakurgaon district;9;2;Unknown;13
2014;1;4;19;6;Rajshahi;Charghat;7;2;Unknown;8
2014;1;5;95;10;Baghdad;Baghdad;3;14;Unknown;6
2014;1;5;95;10;Baghdad;Baghdad;3;14;Unknown;6
2014;1;5;41;11;Bangui;Bangui;3;7;Unknown;6
2014;1;5;19;6;Rangpur;Parbatipur district;3;2;Unknown;6
2014;1;5;19;6;Dhaka;Dhaka;3;2;Unknown;6
2014;1;5;19;6;Sylhet;Baniachang;2;2;Unknown;8
2014;1;5;19;6;Dhaka;Dhaka;3;2;Unknown;6
2014;1;5;95;10;Baghdad;Baghdad;3;14;Unknown;6
2014;1;5;95;10;Nineveh;Mosul;2;3;Unknown;5
2014;1;5;147;11;Bayelsa;Agrisaba;6;14;Unknown;5
2014;1;5;167;9;Dagestan;Khasavyurt;3;1;Unknown;6
2014;1;5;167;9;Unknown;Unknown;8;14;Unknown;8
2014;1;5;153;6;Khyber Pakhtunkhwa;Charsadda;3;20;Unknown;6
2014;1;5;153;6;Balochistan;Pir Koh;3;21;Unknown;6
2014;1;5;4;6;Herat;Zerkoh;2;4;Taliban;5
2014;1;5;153;6;Sindh;Karachi;2;3;Tehrik-i-Taliban Pakistan (TTP);6
2014;1;5;153;6;Sindh;Karachi;2;22;Unknown;5
2014;1;5;104;11;Kwale;Diani;3;3;Unknown;6
2014;1;6;147;11;Kaduna;Kaduna;2;3;Unknown;5
2014;1;6;182;11;Banaadir;Mogadishu;2;4;Al-Shabaab;5
2014;1;6;205;5;Pattani;Pitu Mudi;2;2;Unknown;5
2014;1;6;95;10;Saladin;Tuz Khormato;3;14;Unknown;6
2014;1;6;95;10;Saladin;Shirqat district;3;14;Unknown;6
2014;1;6;95;10;Saladin;Tuz Khormato;3;22;Unknown;6
2014;1;6;95;10;Kirkuk;Hawijah district;3;3;Unknown;6
2014;1;6;95;10;Nineveh;Albu Sayf;3;3;Unknown;6
2014;1;6;95;10;Nineveh;Mosul;3;3;Islamic State of Iraq and the Levant (ISIL);6
2014;1;6;95;10;Al Anbar;Abu Ghraib;2;4;Unknown;5
2014;1;7;95;10;Baghdad;Baghdad;2;1;Unknown;5
2014;1;6;95;10;Nineveh;Mosul;2;3;Unknown;5
2014;1;6;113;10;Benghazi;Benghazi;3;2;Unknown;6
2014;1;6;147;11;Plateau;Shonong;2;14;Fulani extremists;5
2014;1;6;95;10;Kirkuk;Riyadh;3;3;Unknown;6
2014;1;6;95;10;Kirkuk;Riyadh;3;3;Unknown;6
2014;1;6;95;10;Kirkuk;Riyadh;3;3;Unknown;6
2014;1;6;95;10;Kirkuk;Riyadh;3;3;Unknown;6
2014;1;6;95;10;Kirkuk;Riyadh;3;3;Unknown;6
2014;1;6;95;10;Kirkuk;Riyadh;3;3;Unknown;6
2014;1;6;153;6;Khyber Pakhtunkhwa;Bannu;3;8;Unknown;6
2014;1;6;153;6;Balochistan;Quetta;3;3;Baloch Republican Army (BRA);6
2014;1;6;153;6;Khyber Pakhtunkhwa;Ibrahimzai;3;8;Lashkar-e-Jhangvi;6
2014;1;6;4;6;Ghazni;Andar district;3;3;Taliban;6
2014;1;6;205;5;Bangkok;Unknown;3;10;Unknown;6
2014;1;6;205;5;Yala;Yaha district;2;8;Unknown;5
2014;1;6;4;6;Helmand;Khannesin district;3;3;Taliban;6
2014;1;6;92;6;Odisha;Balipeta;2;14;Maoists;9
2014;1;6;153;6;Khyber Pakhtunkhwa;Nasir Bagh;3;4;Unknown;6
2014;1;6;153;6;Khyber Pakhtunkhwa;Peshawar;9;3;Tehrik-i-Taliban Pakistan (TTP);13
2014;1;6;155;10;West Bank;Bethlehem;3;15;Unknown;6
2014;1;6;153;6;Federally Administered Tribal Areas;Pewar;3;14;Unknown;6
2014;1;6;153;6;Balochistan;Nuttal;3;21;Unknown;6
2014;1;6;4;6;Jawzjan;Shibirghan;2;3;Taliban;5
2014;1;6;110;10;North;Tripoli;3;4;Unknown;6
2014;1;6;153;6;Balochistan;Kuchlak;3;21;Unknown;6
2014;1;6;153;6;Balochistan;Nasirabad district;2;3;Unknown;6
2014;1;6;155;10;West Bank;Bethlehem;3;4;Unknown;6
2014;1;6;167;9;Dagestan;Chontaul;3;3;Unknown;6
2014;1;6;95;10;Kirkuk;Riyadh;3;4;Unknown;6
2014;1;6;160;5;Camarines Sur;San Roque;2;14;Unknown;5
2014;1;6;153;6;Sindh;Karachi;1;1;Unknown;5
2014;1;6;153;6;Sindh;Karachi;1;22;Unknown;5
2014;1;6;110;10;South;Sidon;1;22;Unknown;5
2014;1;6;214;9;Kiev;Kiev;3;20;Unknown;6
2014;1;6;95;10;Al Anbar;Fallujah;6;4;Unknown;5
2014;1;6;98;8;Trentino-South Tyrol;Rovereto;3;1;Anarchists;6
2014;1;6;130;1;Federal;Mexico City;7;2;Anarchists;8
2014;1;7;228;10;Marib;Unknown;2;4;Unknown;5
2014;1;7;147;11;Kano;Kwankwaso;2;15;Boko Haram;5
2014;1;7;182;11;Banaadir;Mogadishu;2;2;Al-Shabaab;5
2014;1;7;113;10;Benghazi;Benghazi;2;17;Unknown;5
2014;1;7;160;5;Basilan;Ungkaya Pukan;9;14;Abu Sayyaf Group (ASG);13
2014;1;7;182;11;Banaadir;Mogadishu;2;1;Al-Shabaab;5
2014;1;7;182;11;Lower Juba;Badhadhe;2;4;Al-Shabaab;5
2014;1;7;182;11;Lower Shebelle;Wanlaweyn;9;17;Al-Shabaab;13
2014;1;2;95;10;Baghdad;Baghdad;1;2;Unknown;6
2014;1;6;95;10;Diyala;Baqubah;3;1;Unknown;6
2014;1;6;95;10;Diyala;Al-Nahrawan;3;14;Unknown;6
2014;1;4;95;10;Al Anbar;Zaidan;2;4;Unknown;5
2014;1;7;160;5;Zamboanga Sibugay;Buug;2;2;Unknown;5
2014;1;7;228;10;Adan;Shaykh Uthman;1;4;Unknown;5
2014;1;7;95;10;Saladin;Unknown;2;3;Islamic State of Iraq and the Levant (ISIL);6
2014;1;7;95;10;Diyala;Baqubah;9;3;Unknown;13
2014;1;7;95;10;Diyala;Abu Sayda;2;3;Unknown;5
2014;1;7;92;6;Kerala;Kakkanad;3;15;Unknown;6
2014;1;7;60;10;South Sinai;Moses Spring;6;2;Ansar Bayt al-Maqdis (Ansar Jerusalem);5
2014;1;7;60;10;Cairo;Cairo;2;3;Unknown;6
2014;1;7;182;11;Banaadir;Mogadishu;3;4;Unknown;6
2014;1;7;95;10;Kirkuk;Kirkuk;3;3;Islamic State of Iraq and the Levant (ISIL);6
2014;1;7;95;10;Saladin;Tikrit;3;2;Unknown;6
2014;1;7;95;10;Baghdad;Baghdad;3;4;Unknown;6
2014;1;7;228;10;Hadramawt;Sah district;3;21;Tribesmen;6
2014;1;7;95;10;Baghdad;Baghdad;3;17;Unknown;6
2014;1;7;92;6;Meghalaya;Edenbari;2;3;Achik National Volunteer Council-B (ANVC-B);5
2014;1;7;153;6;Khyber Pakhtunkhwa;Shabqadar;3;1;Unknown;6
2014;1;7;228;10;Adan;Aden;1;2;Unknown;6
2014;1;7;92;6;Jammu and Kashmir;Awantipora;2;4;Unknown;5
2014;1;7;153;6;Federally Administered Tribal Areas;Sadda;3;14;Unknown;6
2014;1;7;153;6;Khyber Pakhtunkhwa;Mingora;1;2;Unknown;5
2014;1;7;153;6;Balochistan;Nuttal;3;21;Unknown;6
2014;1;7;4;6;Kandahar;Shah Wali Kot district;3;20;Unknown;6
2014;1;7;153;6;Sindh;Karachi;6;14;Tehrik-i-Taliban Pakistan (TTP);9
2014;1;7;153;6;Khyber Pakhtunkhwa;Peshawar;2;14;Unknown;5
2014;1;6;4;6;Ghazni;Dalan;3;14;Taliban;6
2014;1;7;153;6;Khyber Pakhtunkhwa;Bahadur Banda;3;1;Unknown;6
2014;1;7;92;6;Jammu and Kashmir;Sopore;2;3;Separatists;5
2014;1;7;93;5;East Java;Malang;3;1;Unknown;6
2014;1;7;160;5;Catanduanes;J. M. Alberto;2;4;New People's Army (NPA);5
2014;1;7;153;6;Khyber Pakhtunkhwa;Peshawar;3;1;Unknown;6
2014;1;7;104;11;Marsabit;Dukana;2;14;Unknown;5
2014;1;7;153;6;Balochistan;Nuttal;3;21;Unknown;6
2014;1;7;95;10;Diyala;Baqubah;2;17;Unknown;5
2014;1;7;153;6;Sindh;Karachi;5;1;Punjabi Taliban;5
2014;1;8;147;11;Borno;Konduga;6;14;Boko Haram;6
2014;1;8;160;5;North Cotabato;Midsayap;2;4;Moro Islamic Liberation Front (MILF);5
2014;1;8;205;5;Pattani;Pase Yawo;3;3;Unknown;6
2014;1;8;182;11;Banaadir;Mogadishu;3;2;Al-Shabaab;6
2014;1;8;167;9;Stavropol;Tambuktan;3;3;Caucasus Emirate;6
2014;1;8;167;9;Stavropol;Maryinskaya;3;3;Caucasus Emirate;6
2014;1;8;113;10;Sabha;Sabha;2;4;Unknown;5
2014;1;8;205;5;Pattani;Lubo Yilai;3;4;Unknown;6
2014;1;8;95;10;Diyala;Adhaim;2;4;Unknown;6
2014;1;8;95;10;Saladin;Shirqat district;2;14;Unknown;5
2014;1;8;92;6;Odisha;Koraput district;2;1;Maoists;9
2014;1;8;95;10;Nineveh;Tal Afar;3;3;Islamic State of Iraq and the Levant (ISIL);6
2014;1;8;200;10;Aleppo;Bab;3;17;Islamic State of Iraq and the Levant (ISIL);6
2014;1;8;95;10;Nineveh;Unknown;3;3;Unknown;6
2014;1;8;95;10;Saladin;Samarra;1;3;Unknown;6
2014;1;7;95;10;Saladin;Samarra;2;3;Unknown;5
2014;1;8;153;6;Khyber Pakhtunkhwa;Draban;3;4;Unknown;6
2014;1;7;92;6;Tamil Nadu;Madurai;6;14;Unknown;13
2014;1;8;153;6;Federally Administered Tribal Areas;South Waziristan district;2;4;Tehrik-i-Taliban Pakistan (TTP);5
2014;1;8;153;6;Khyber Pakhtunkhwa;Peshawar;2;3;Tehrik-i-Taliban Pakistan (TTP);5
2014;1;8;195;11;Unknown;Unknown;2;4;Sudan Liberation Movement;5
2014;1;8;95;10;Saladin;Shirqat;3;3;Unknown;6
2014;1;8;147;11;Borno;Gwoza;7;2;Boko Haram;8
2014;1;8;92;6;Manipur;Thamnapokpi;3;2;Unknown;6
2014;1;8;95;10;Saladin;Shirqat;2;3;Unknown;5
2014;1;8;95;10;Diyala;Baqubah;3;3;Unknown;6
2014;1;8;153;6;Balochistan;Dera Murad Jamali;3;21;Unknown;6
2014;1;8;104;11;Garissa;Dadaab;3;12;Unknown;6
2014;1;8;53;8;Limassol;Limassol;3;14;Unknown;6
2014;1;8;153;6;Punjab;Rawalpindi;2;8;Unknown;5
2014;1;8;153;6;Khyber Pakhtunkhwa;Peshawar;2;3;Unknown;5
2014;1;8;153;6;Khyber Pakhtunkhwa;Peshawar;2;3;Unknown;5
2014;1;8;160;5;Ifugao;Kiangan;1;2;New People's Army (NPA);5
2014;1;8;4;6;Farah;Pusht Rod district;6;8;Taliban;5
2014;1;8;153;6;Balochistan;Panjgur;3;10;Baloch Liberation Army (BLA);6
2014;1;8;153;6;Khyber Pakhtunkhwa;Peshawar;5;3;Unknown;6
2014;1;8;92;6;Punjab;Nakodar;2;8;Unknown;5
2014;1;8;19;6;Khulna;Bottola;7;15;Bangladesh Nationalist Party (BNP);8
2014;1;8;95;10;Saladin;Shirqat;3;14;Unknown;6
